LocalTime, GPSTime, ESSID, BSSID, Power, Security, Latitude, Longitude, Latitude Error, Longitude Error, Type
2024-01-26 17:00:39,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:39,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:39,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:39,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:39,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-72, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:39,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-69, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:39,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:39,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-68, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:40,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:40,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:40,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:40,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-71, WPA2 ,0.000000,0.000000,0.000,0.000,AP
2024-01-26 17:00:40,1900-01-00 00:00:00,Schirmakazie,24:65:11:8A:E8:9F,-70, WPA2 ,0.000000,0.000000,0.000,0.000,AP
